,Estacao,N. Lab.,Long (X) 4326,Lat (Y) 4326,Laboratorio,Cod análise,Tipo de amostra,As (PPM),Bi (PPM)
24,AF-0023,CCG 548,-44.85547026,-19.73200614,Acme,ICP14B/1F04,Sed. Cor.,178.5,0.43
25,AF-0024,CCG 549,-44.83392043,-19.74144009,Acme,ICP14B/1F04,Sed. Cor.,9,0.22
26,AF-0025,CCG 550,-44.88201582,-19.75176224,Acme,ICP14B/1F04,Sed. Cor.,10.5,0.21
27,AF-0026,CCG 551,-44.95527845,-19.52432389,Acme,ICP14B/1F04,Sed. Cor.,1.6,0.39
28,AF-0027,CCG 552,-44.9526129,-19.54584971,Acme,ICP14B/1F04,Sed. Cor.,24.4,0.37
29,AF-0028,CCG 553,-44.94151843,-19.5678338,Acme,ICP14B/1F04,Sed. Cor.,10.4,0.35
30,AF-0029,CCG 554,-44.89597136,-19.6321302,Acme,ICP14B/1F04,Sed. Cor.,32.5,0.53
31,AF-0030A,CCG 555,-44.88282508,-19.63656835,Acme,ICP14B/1F04,Sed. Cor.,21.4,0.42
32,AF-0030B,CCH137,-44.88282508,-19.63656835,Acme,ICP14B/1F04,Sed. Cor.,19.4,0.43
33,AF-0031,CCG 556,-44.90883532,-19.58579506,Acme,ICP14B/1F04,Sed. Cor.,17.1,0.4
34,AF-0032,CCG 557,-44.92256155,-19.61460267,Acme,ICP14B/1F04,Sed. Cor.,12.1,0.39
35,AF-0033,CCG 558,-44.92844217,-19.57950504,Acme,ICP14B/1F04,Sed. Cor.,20.9,0.5
36,AF-0034,CCG 559,-44.95387945,-19.5504138,Acme,ICP14B/1F04,Sed. Cor.,34.3,0.33
37,AF-0035,CCG 560,-44.85541992,-19.71369724,Acme,ICP14B/1F04,Sed. Cor.,55,0.26
38,AF-0036,CCG 561,-44.85153945,-19.68935752,Acme,ICP14B/1F04,Sed. Cor.,37.8,0.37
39,AF-0037,CCG 562,-44.84868724,-19.67856498,Acme,ICP14B/1F04,Sed. Cor.,16,0.24
40,AF-0038,CCG 563,-44.83942455,-19.6198796,Acme,ICP14B/1F04,Sed. Cor.,4.7,0.29
41,AF-0039,CCG 564,-44.84639915,-19.6166956,Acme,ICP14B/1F04,Sed. Cor.,16.2,0.39
42,AF-0040A,CCG 565,-44.82180064,-19.61074464,Acme,ICP14B/1F04,Sed. Cor.,16.2,0.26
43,AF-0040B,CCH138,-44.82180064,-19.61074464,Acme,ICP14B/1F04,Sed. Cor.,14.9,0.27
